iter	Passed	Remaining
0	15	11713
1	17	6773
2	19	5038
3	21	4197
4	24	3690
5	26	3350
6	28	3084
7	30	2908
8	32	2775
9	34	2646
10	36	2545
11	38	2458
12	42	2455
13	44	2387
14	46	2335
15	48	2293
16	50	2257
17	52	2207
18	54	2172
19	57	2145
20	59	2111
21	61	2086
22	63	2059
23	65	2032
24	67	2009
25	69	1992
26	71	1974
27	73	1960
28	75	1947
29	78	1934
30	80	1923
31	82	1917
32	85	1908
33	87	1898
34	90	1895
35	92	1886
36	94	1874
37	96	1867
38	99	1862
39	101	1852
40	103	1843
41	105	1834
42	107	1827
43	110	1821
44	112	1813
45	114	1806
46	116	1796
47	118	1793
48	121	1789
49	123	1783
50	125	1775
51	128	1772
52	130	1767
53	132	1759
54	134	1753
55	136	1747
56	138	1740
57	140	1735
58	143	1730
59	145	1725
60	147	1721
61	150	1718
62	152	1716
63	154	1714
64	157	1710
65	159	1705
66	161	1701
67	163	1697
68	166	1697
69	169	1696
70	171	1693
71	173	1689
72	175	1684
73	177	1678
74	180	1673
75	182	1668
76	184	1664
77	186	1659
78	188	1655
79	190	1652
80	193	1649
81	195	1648
82	198	1645
83	200	1643
84	202	1639
85	205	1636
86	207	1634
87	209	1631
88	212	1628
89	214	1625
90	216	1622
91	219	1620
92	221	1617
93	224	1615
94	226	1613
95	229	1614
96	232	1615
97	234	1614
98	237	1613
99	239	1611
100	242	1610
101	244	1608
102	247	1606
103	249	1602
104	251	1599
105	255	1608
106	261	1627
107	265	1630
108	267	1628
109	269	1624
110	272	1620
111	274	1616
112	276	1612
113	278	1609
114	281	1605
115	283	1602
116	285	1598
117	287	1595
118	290	1591
119	292	1588
120	294	1585
121	296	1581
122	299	1577
123	301	1575
124	303	1573
125	306	1569
126	308	1567
127	310	1563
128	313	1560
129	315	1557
130	317	1555
131	319	1551
132	322	1547
133	324	1544
134	326	1541
135	328	1537
136	330	1533
137	333	1530
138	335	1526
139	337	1524
140	339	1520
141	341	1517
142	344	1515
143	346	1512
144	349	1510
145	351	1507
146	353	1503
147	356	1501
148	358	1498
149	360	1494
150	362	1491
151	364	1488
152	366	1484
153	369	1481
154	371	1477
155	373	1474
156	375	1472
157	378	1469
158	380	1465
159	382	1462
160	384	1460
161	386	1457
162	389	1453
163	391	1450
164	393	1446
165	395	1444
166	397	1441
167	400	1439
168	402	1437
169	405	1435
170	407	1433
171	410	1431
172	413	1430
173	416	1430
174	418	1427
175	420	1424
176	423	1422
177	425	1421
178	428	1419
179	431	1417
180	433	1415
181	435	1412
182	438	1410
183	440	1408
184	443	1406
185	445	1403
186	452	1416
187	456	1416
188	458	1414
189	461	1412
190	463	1410
191	465	1407
192	467	1403
193	470	1401
194	472	1398
195	474	1395
196	477	1393
197	479	1390
198	481	1387
199	484	1384
200	486	1382
201	488	1379
202	490	1376
203	493	1374
204	496	1371
205	498	1369
206	504	1378
207	511	1387
208	517	1394
209	523	1400
210	525	1398
211	528	1396
212	532	1398
213	535	1397
214	538	1394
215	540	1391
216	542	1388
217	545	1385
218	547	1382
219	549	1379
220	552	1377
221	555	1375
222	557	1372
223	559	1369
224	561	1366
225	564	1362
226	566	1360
227	568	1357
228	571	1354
229	573	1351
230	575	1348
231	578	1345
232	580	1342
233	582	1339
234	584	1336
235	587	1333
236	589	1330
237	591	1328
238	594	1325
239	596	1323
240	599	1320
241	601	1318
242	604	1315
243	606	1312
244	609	1310
245	611	1307
246	613	1304
247	617	1303
248	620	1302
249	625	1305
250	628	1304
251	631	1302
252	633	1300
253	636	1297
254	638	1295
255	642	1295
256	649	1301
257	652	1300
258	654	1297
259	657	1294
260	659	1292
261	662	1290
262	665	1287
263	667	1285
264	670	1282
265	672	1279
266	674	1276
267	677	1274
268	679	1271
269	682	1268
270	684	1266
271	687	1263
272	689	1261
273	692	1258
274	694	1255
275	697	1253
276	699	1250
277	702	1248
278	705	1247
279	708	1244
280	710	1242
281	713	1239
282	715	1236
283	718	1234
284	720	1231
285	723	1228
286	725	1226
287	728	1223
288	730	1220
289	732	1218
290	735	1215
291	738	1213
292	741	1211
293	743	1208
294	746	1206
295	748	1203
296	750	1200
297	753	1198
298	755	1195
299	758	1192
300	760	1190
301	763	1187
302	765	1185
303	768	1183
304	771	1181
305	773	1178
306	776	1176
307	779	1174
308	782	1171
309	784	1169
310	787	1167
311	790	1164
312	792	1162
313	795	1160
314	798	1159
315	801	1157
316	804	1155
317	807	1152
318	810	1150
319	812	1147
320	815	1145
321	818	1143
322	821	1141
323	824	1140
324	827	1138
325	830	1136
326	834	1135
327	844	1143
328	850	1144
329	853	1143
330	857	1142
331	860	1140
332	863	1137
333	865	1135
334	868	1132
335	870	1130
336	874	1128
337	878	1127
338	881	1125
339	883	1123
340	886	1120
341	889	1117
342	891	1114
343	893	1112
344	896	1109
345	898	1106
346	901	1103
347	903	1101
348	906	1098
349	908	1095
350	910	1092
351	913	1089
352	915	1086
353	917	1083
354	919	1080
355	922	1077
356	924	1074
357	926	1071
358	928	1068
359	930	1065
360	933	1062
361	935	1059
362	937	1056
363	940	1053
364	942	1050
365	944	1047
366	946	1044
367	949	1042
368	951	1039
369	953	1036
370	956	1033
371	958	1030
372	961	1028
373	963	1025
374	965	1022
375	968	1019
376	970	1016
377	972	1013
378	974	1010
379	977	1008
380	980	1005
381	982	1003
382	985	1000
383	987	997
384	990	995
385	992	992
386	994	989
387	997	987
388	1000	984
389	1002	982
390	1005	980
391	1008	977
392	1010	974
393	1013	972
394	1016	969
395	1018	967
396	1020	964
397	1023	961
398	1025	959
399	1028	956
400	1032	955
401	1039	956
402	1042	954
403	1044	951
404	1047	948
405	1049	946
406	1052	943
407	1054	940
408	1056	938
409	1059	935
410	1061	932
411	1063	929
412	1066	926
413	1068	924
414	1071	921
415	1073	918
416	1075	915
417	1078	913
418	1080	910
419	1083	907
420	1085	904
421	1087	902
422	1089	899
423	1092	896
424	1094	894
425	1097	891
426	1099	888
427	1102	886
428	1104	883
429	1106	880
430	1109	877
431	1111	874
432	1113	871
433	1115	869
434	1118	866
435	1120	863
436	1123	861
437	1125	858
438	1128	855
439	1130	852
440	1132	850
441	1134	847
442	1137	844
443	1139	841
444	1141	838
445	1143	836
446	1146	833
447	1148	830
448	1151	828
449	1153	825
450	1155	822
451	1158	820
452	1160	817
453	1162	814
454	1165	811
455	1167	809
456	1169	806
457	1172	803
458	1175	801
459	1177	798
460	1179	795
461	1182	793
462	1184	790
463	1187	788
464	1189	785
465	1192	782
466	1194	780
467	1197	777
468	1200	775
469	1202	772
470	1205	770
471	1208	768
472	1210	765
473	1213	763
474	1216	760
475	1219	758
476	1225	757
477	1229	756
478	1233	754
479	1236	752
480	1238	749
481	1241	746
482	1243	744
483	1249	743
484	1256	743
485	1262	742
486	1269	742
487	1271	740
488	1274	737
489	1278	735
490	1281	733
491	1283	730
492	1286	727
493	1288	725
494	1291	722
495	1293	719
496	1296	717
497	1298	714
498	1301	712
499	1304	709
500	1306	706
501	1309	704
502	1311	701
503	1313	698
504	1315	695
505	1318	692
506	1320	690
507	1322	687
508	1325	684
509	1327	682
510	1330	679
511	1333	677
512	1336	674
513	1338	671
514	1341	669
515	1343	666
516	1345	663
517	1348	661
518	1350	658
519	1353	655
520	1356	653
521	1358	650
522	1361	648
523	1363	645
524	1366	642
525	1368	640
526	1371	637
527	1373	634
528	1376	632
529	1379	629
530	1382	627
531	1384	624
532	1387	622
533	1390	619
534	1393	617
535	1395	614
536	1398	611
537	1400	609
538	1407	608
539	1411	606
540	1414	603
541	1416	601
542	1419	598
543	1421	595
544	1424	593
545	1426	590
546	1428	587
547	1430	584
548	1433	582
549	1435	579
550	1437	576
551	1440	574
552	1442	571
553	1444	568
554	1447	566
555	1450	563
556	1452	560
557	1455	558
558	1457	555
559	1459	552
560	1461	549
561	1464	547
562	1466	544
563	1468	541
564	1470	538
565	1473	536
566	1475	533
567	1477	530
568	1480	528
569	1482	525
570	1484	522
571	1487	520
572	1489	517
573	1492	514
574	1494	512
575	1496	509
576	1499	506
577	1501	504
578	1504	501
579	1506	498
580	1508	495
581	1511	493
582	1513	490
583	1515	487
584	1517	485
585	1520	482
586	1522	479
587	1524	477
588	1527	474
589	1529	471
590	1531	469
591	1534	466
592	1536	463
593	1539	461
594	1541	458
595	1543	455
596	1546	453
597	1549	450
598	1552	448
599	1554	445
600	1556	442
601	1559	440
602	1561	437
603	1563	434
604	1566	432
605	1568	429
606	1571	427
607	1574	424
608	1577	422
609	1580	419
610	1583	417
611	1586	414
612	1590	412
613	1594	410
614	1597	407
615	1604	406
616	1609	404
617	1612	401
618	1616	399
619	1620	397
620	1623	394
621	1626	392
622	1629	389
623	1631	387
624	1633	384
625	1637	381
626	1640	379
627	1644	376
628	1646	374
629	1648	371
630	1651	368
631	1653	366
632	1655	363
633	1657	360
634	1659	358
635	1662	355
636	1664	352
637	1666	350
638	1669	347
639	1671	344
640	1673	342
641	1676	339
642	1678	336
643	1680	334
644	1683	331
645	1685	328
646	1688	326
647	1691	323
648	1693	320
649	1695	318
650	1698	315
651	1700	312
652	1702	310
653	1705	307
654	1707	304
655	1709	302
656	1712	299
657	1714	297
658	1716	294
659	1719	291
660	1721	289
661	1723	286
662	1725	283
663	1728	281
664	1730	278
665	1732	275
666	1734	273
667	1737	270
668	1739	267
669	1742	265
670	1744	262
671	1747	259
672	1749	257
673	1751	254
674	1753	252
675	1756	249
676	1758	246
677	1760	244
678	1763	241
679	1766	238
680	1768	236
681	1771	233
682	1774	231
683	1776	228
684	1778	225
685	1781	223
686	1784	220
687	1786	218
688	1791	215
689	1797	213
690	1801	211
691	1803	208
692	1806	205
693	1808	203
694	1810	200
695	1813	197
696	1815	195
697	1817	192
698	1820	190
699	1823	187
700	1825	184
701	1828	182
702	1830	179
703	1833	177
704	1835	174
705	1838	171
706	1840	169
707	1843	166
708	1845	163
709	1848	161
710	1850	158
711	1852	156
712	1854	153
713	1857	150
714	1859	148
715	1861	145
716	1864	142
717	1866	140
718	1868	137
719	1870	135
720	1872	132
721	1875	129
722	1877	127
723	1880	124
724	1882	122
725	1884	119
726	1886	116
727	1889	114
728	1891	111
729	1894	108
730	1896	106
731	1899	103
732	1901	101
733	1903	98
734	1905	95
735	1908	93
736	1910	90
737	1913	88
738	1915	85
739	1917	82
740	1919	80
741	1922	77
742	1925	75
743	1928	72
744	1930	69
745	1932	67
746	1935	64
747	1938	62
748	1940	59
749	1944	57
750	1946	54
751	1949	51
752	1952	49
753	1954	46
754	1957	44
755	1962	41
756	1966	38
757	1971	36
758	1975	33
759	1977	31
760	1980	28
761	1984	26
762	1992	23
763	1996	20
764	1999	18
765	2001	15
766	2004	13
767	2007	10
768	2010	7
769	2012	5
770	2015	2
771	2018	0
